4_1.pngis:t@2+-2*t+2,+-t@3+2*t@2+-2*t]
10_139.pngis:t@8+-t@7+2*t@5+-3*t@4+2*t@3+-t+1,+-t@9+t@8+-2*t@6+3*t@5+-2*t@4+t@2+-t]
10_140.pngis:2*t@7+-4*t@6+5*t@5+-4*t@4+t@3+2*t@2+-3*t+2,2*t@8+-4*t@7+5*t@6+-4*t@5+t@4+2*t@3+-3*t@2+2*t]
10_146.pngis:3*t@4+-8*t@3+11*t@2+-8*t+3,+-3*t@7+8*t@6+-11*t@5+8*t@4+-3*t@3]
10_148.pngis:t@8+-t@7+t@6+-2*t@5+6*t@4+-9*t@3+7*t@2+-3*t+1,+-t@9+t@8+-t@7+2*t@6+-6*t@5+9*t@4+-7*t@3+3*t@2+-t]
10_149.pngis:t@7+-4*t@5+9*t@4+-11*t@3+10*t@2+-6*t+2,t@8+-4*t@6+9*t@5+-11*t@4+10*t@3+-6*t@2+2*t]
10_150.pngis:t@8+-2*t@7+4*t@6+-6*t@5+5*t@4+-2*t@3+3*t@2+-4*t+2,+-t@9+2*t@8+-4*t@7+6*t@6+-5*t@5+2*t@4+-3*t@3+4*t@2+-2*t]
10_152.pngis:t@8+-t@7+-t@6+4*t@5+-5*t@4+4*t@3+-t@2+-t+1,+-t@9+t@8+t@7+-4*t@6+5*t@5+-4*t@4+t@3+t@2+-t]
10_155.pngis:t@8+-5*t@6+11*t@5+-10*t@4+4*t@3+t@2+-2*t+1,t@8+-5*t@6+11*t@5+-10*t@4+4*t@3+t@2+-2*t+1]
10_157.pngis:t@8+-3*t@7+6*t@6+-9*t@5+11*t@4+-9*t@3+6*t@2+-3*t+1,t@9+-3*t@8+6*t@7+-9*t@6+11*t@5+-9*t@4+6*t@3+-3*t@2+t]
10_161.pngis:t@8+-t@7+2*t@5+-3*t@4+3*t@3+-t@2+-t+1,t@9+-t@8+2*t@6+-3*t@5+3*t@4+-t@3+-t@2+t]
10_162.pngis:t@6+-2*t@5+4*t@4+-6*t@3+7*t@2+-5*t+2,t@8+-2*t@7+4*t@6+-6*t@5+7*t@4+-5*t@3+2*t@2]
10_163.pngis:t@7+t@6+-10*t@5+17*t@4+-13*t@3+7*t@2+-3*t+1,+-t@8+-t@7+10*t@6+-17*t@5+13*t@4+-7*t@3+3*t@2+-t]
10_164.pngis:3*t@6+-8*t@5+11*t@4+-10*t@3+7*t@2+-4*t+2,3*t@8+-8*t@7+11*t@6+-10*t@5+7*t@4+-4*t@3+2*t@2]
10_165.pngis:5*t@5+-15*t@4+18*t@3+-7*t@2+-3*t+3,5*t@7+-15*t@6+18*t@5+-7*t@4+-3*t@3+3*t@2]
