Name,Alexander
11a_71,1-6*t+18*t^2-34*t^3+41*t^4-34*t^5+18*t^6-6*t^7+t^8
11a_72,1-6*t+18*t^2-32*t^3+39*t^4-32*t^5+18*t^6-6*t^7+t^8
11a_73,1-7*t+21*t^2-37*t^3+45*t^4-37*t^5+21*t^6-7*t^7+t^8
11a_74,1-5*t+10*t^2-13*t^3+15*t^4-13*t^5+10*t^6-5*t^7+t^8
11a_75,2-10*t+19*t^2-21*t^3+19*t^4-10*t^5+2*t^6
11a_76,1-6*t+17*t^2-30*t^3+37*t^4-30*t^5+17*t^6-6*t^7+t^8
11a_77,2-12*t+31*t^2-41*t^3+31*t^4-12*t^5+2*t^6
11a_78,2-12*t+29*t^2-37*t^3+29*t^4-12*t^5+2*t^6
11a_79,1-6*t+17*t^2-30*t^3+35*t^4-30*t^5+17*t^6-6*t^7+t^8
11a_80,1-6*t+16*t^2-28*t^3+35*t^4-28*t^5+16*t^6-6*t^7+t^8
11a_81,1-6*t+16*t^2-26*t^3+29*t^4-26*t^5+16*t^6-6*t^7+t^8
11a_82,1-5*t+12*t^2-19*t^3+21*t^4-19*t^5+12*t^6-5*t^7+t^8
11a_83,1-5*t+14*t^2-23*t^3+27*t^4-23*t^5+14*t^6-5*t^7+t^8
11a_84,2-10*t+23*t^2-31*t^3+23*t^4-10*t^5+2*t^6
11a_85,2-10*t+25*t^2-33*t^3+25*t^4-10*t^5+2*t^6
11a_86,1-5*t+12*t^2-18*t^3+19*t^4-18*t^5+12*t^6-5*t^7+t^8
11a_87,2-11*t+28*t^2-39*t^3+28*t^4-11*t^5+2*t^6
11a_88,1-5*t+12*t^2-20*t^3+25*t^4-20*t^5+12*t^6-5*t^7+t^8
11a_89,2-12*t+28*t^2-35*t^3+28*t^4-12*t^5+2*t^6
11a_90,2-10*t+20*t^2-23*t^3+20*t^4-10*t^5+2*t^6
11a_91,2-12*t+30*t^2-41*t^3+30*t^4-12*t^5+2*t^6
11a_92,1-5*t+12*t^2-21*t^3+25*t^4-21*t^5+12*t^6-5*t^7+t^8
11a_93,2-10*t+21*t^2-27*t^3+21*t^4-10*t^5+2*t^6
11a_94,4-13*t+23*t^2-27*t^3+23*t^4-13*t^5+4*t^6
11a_95,6-18*t+25*t^2-18*t^3+6*t^4
11a_96,1-9*t+29*t^2-43*t^3+29*t^4-9*t^5+t^6
11a_97,2-9*t+16*t^2-17*t^3+16*t^4-9*t^5+2*t^6
11a_98,4-19*t+31*t^2-19*t^3+4*t^4
11a_99,1-6*t+17*t^2-28*t^3+31*t^4-28*t^5+17*t^6-6*t^7+t^8
11a_100,3-15*t+32*t^2-41*t^3+32*t^4-15*t^5+3*t^6
11a_101,3-16*t+39*t^2-51*t^3+39*t^4-16*t^5+3*t^6
11a_102,2-11*t+23*t^2-27*t^3+23*t^4-11*t^5+2*t^6
11a_103,4-20*t+33*t^2-20*t^3+4*t^4
11a_104,2-12*t+29*t^2-39*t^3+29*t^4-12*t^5+2*t^6
11a_105,3-13*t+24*t^2-29*t^3+24*t^4-13*t^5+3*t^6
11a_106,1-5*t+12*t^2-18*t^3+21*t^4-18*t^5+12*t^6-5*t^7+t^8
11a_107,2-11*t+26*t^2-33*t^3+26*t^4-11*t^5+2*t^6
11a_108,1-5*t+12*t^2-20*t^3+23*t^4-20*t^5+12*t^6-5*t^7+t^8
11a_109,1-5*t+14*t^2-24*t^3+29*t^4-24*t^5+14*t^6-5*t^7+t^8
11a_110,2-10*t+22*t^2-29*t^3+22*t^4-10*t^5+2*t^6
11a_111,2-10*t+24*t^2-31*t^3+24*t^4-10*t^5+2*t^6
11a_112,1-6*t+15*t^2-25*t^3+31*t^4-25*t^5+15*t^6-6*t^7+t^8
11a_113,1-6*t+15*t^2-21*t^3+23*t^4-21*t^5+15*t^6-6*t^7+t^8
11a_114,3-15*t+35*t^2-45*t^3+35*t^4-15*t^5+3*t^6
11a_115,3-13*t+27*t^2-35*t^3+27*t^4-13*t^5+3*t^6
11a_116,3-15*t+31*t^2-39*t^3+31*t^4-15*t^5+3*t^6
11a_117,2-12*t+27*t^2-35*t^3+27*t^4-12*t^5+2*t^6
11a_118,2-10*t+20*t^2-23*t^3+20*t^4-10*t^5+2*t^6
11a_119,4-19*t+31*t^2-19*t^3+4*t^4
11a_120,2-12*t+25*t^2-31*t^3+25*t^4-12*t^5+2*t^6
11a_121,1-9*t+29*t^2-41*t^3+29*t^4-9*t^5+t^6
11a_122,2-12*t+30*t^2-39*t^3+30*t^4-12*t^5+2*t^6
11a_123,9-29*t+41*t^2-29*t^3+9*t^4
11a_124,5-18*t+34*t^2-41*t^3+34*t^4-18*t^5+5*t^6
